Id_SNVeg,n_total,n_sig,prop_sig,parque,escala,mes,variable
AlpConF,47129,0,0,aiguestortes,6,2,pr
AlpScrGr,90472,0,0,aiguestortes,6,2,pr
Grass,647,0,0,aiguestortes,6,2,pr
HydroRipVeg,599,0,0,aiguestortes,6,2,pr
RipF,223,0,0,aiguestortes,6,2,pr
RockScreeVeg,60535,0,0,aiguestortes,6,2,pr
Shrub,528,0,0,aiguestortes,6,2,pr
TempDecF,913,0,0,aiguestortes,6,2,pr
WaterSurf,4432,7,0.16,aiguestortes,6,2,pr
AlpConF,47131,0,0,aiguestortes,6,3,pr
AlpScrGr,90046,0,0,aiguestortes,6,3,pr
Grass,650,0,0,aiguestortes,6,3,pr
HydroRipVeg,599,0,0,aiguestortes,6,3,pr
RipF,223,0,0,aiguestortes,6,3,pr
RockScreeVeg,59792,0,0,aiguestortes,6,3,pr
Shrub,528,0,0,aiguestortes,6,3,pr
TempDecF,913,0,0,aiguestortes,6,3,pr
WaterSurf,4426,0,0,aiguestortes,6,3,pr
AlpConF,47129,0,0,aiguestortes,6,4,pr
AlpScrGr,89976,0,0,aiguestortes,6,4,pr
Grass,650,0,0,aiguestortes,6,4,pr
HydroRipVeg,599,0,0,aiguestortes,6,4,pr
RipF,223,0,0,aiguestortes,6,4,pr
RockScreeVeg,59380,0,0,aiguestortes,6,4,pr
Shrub,528,0,0,aiguestortes,6,4,pr
TempDecF,913,0,0,aiguestortes,6,4,pr
WaterSurf,4420,0,0,aiguestortes,6,4,pr
AlpConF,47125,0,0,aiguestortes,6,5,pr
AlpScrGr,89502,0,0,aiguestortes,6,5,pr
Grass,650,0,0,aiguestortes,6,5,pr
HydroRipVeg,599,0,0,aiguestortes,6,5,pr
RipF,223,0,0,aiguestortes,6,5,pr
RockScreeVeg,58338,0,0,aiguestortes,6,5,pr
Shrub,528,0,0,aiguestortes,6,5,pr
TempDecF,913,0,0,aiguestortes,6,5,pr
WaterSurf,4420,0,0,aiguestortes,6,5,pr
AlpConF,47156,155,0.33,aiguestortes,6,6,pr
AlpScrGr,89985,63,0.07,aiguestortes,6,6,pr
Grass,650,4,0.62,aiguestortes,6,6,pr
HydroRipVeg,599,1,0.17,aiguestortes,6,6,pr
RipF,223,0,0,aiguestortes,6,6,pr
RockScreeVeg,59389,161,0.27,aiguestortes,6,6,pr
Shrub,528,6,1.14,aiguestortes,6,6,pr
TempDecF,913,3,0.33,aiguestortes,6,6,pr
WaterSurf,4420,1,0.02,aiguestortes,6,6,pr
AlpConF,47156,0,0,aiguestortes,6,7,pr
AlpScrGr,90194,0,0,aiguestortes,6,7,pr
Grass,650,0,0,aiguestortes,6,7,pr
HydroRipVeg,599,0,0,aiguestortes,6,7,pr
RipF,223,0,0,aiguestortes,6,7,pr
RockScreeVeg,59993,0,0,aiguestortes,6,7,pr
Shrub,528,0,0,aiguestortes,6,7,pr
TempDecF,913,0,0,aiguestortes,6,7,pr
WaterSurf,4420,0,0,aiguestortes,6,7,pr
AlpConF,47156,0,0,aiguestortes,6,8,pr
AlpScrGr,90902,0,0,aiguestortes,6,8,pr
Grass,650,0,0,aiguestortes,6,8,pr
HydroRipVeg,599,0,0,aiguestortes,6,8,pr
RipF,223,0,0,aiguestortes,6,8,pr
RockScreeVeg,61591,0,0,aiguestortes,6,8,pr
Shrub,528,0,0,aiguestortes,6,8,pr
TempDecF,913,0,0,aiguestortes,6,8,pr
WaterSurf,4420,0,0,aiguestortes,6,8,pr
AlpConF,47133,0,0,aiguestortes,6,9,pr
AlpScrGr,91031,0,0,aiguestortes,6,9,pr
Grass,650,0,0,aiguestortes,6,9,pr
HydroRipVeg,599,0,0,aiguestortes,6,9,pr
RipF,223,0,0,aiguestortes,6,9,pr
RockScreeVeg,61732,0,0,aiguestortes,6,9,pr
Shrub,528,0,0,aiguestortes,6,9,pr
TempDecF,913,0,0,aiguestortes,6,9,pr
WaterSurf,4423,0,0,aiguestortes,6,9,pr
AlpConF,47131,0,0,aiguestortes,6,10,pr
AlpScrGr,90476,0,0,aiguestortes,6,10,pr
Grass,650,0,0,aiguestortes,6,10,pr
HydroRipVeg,599,0,0,aiguestortes,6,10,pr
RipF,223,0,0,aiguestortes,6,10,pr
RockScreeVeg,60534,0,0,aiguestortes,6,10,pr
Shrub,528,0,0,aiguestortes,6,10,pr
TempDecF,913,0,0,aiguestortes,6,10,pr
WaterSurf,4420,0,0,aiguestortes,6,10,pr
AlpConF,47073,0,0,aiguestortes,6,11,pr
AlpScrGr,89988,0,0,aiguestortes,6,11,pr
Grass,648,0,0,aiguestortes,6,11,pr
HydroRipVeg,599,0,0,aiguestortes,6,11,pr
RipF,223,0,0,aiguestortes,6,11,pr
RockScreeVeg,59406,0,0,aiguestortes,6,11,pr
Shrub,528,0,0,aiguestortes,6,11,pr
TempDecF,913,0,0,aiguestortes,6,11,pr
WaterSurf,4420,0,0,aiguestortes,6,11,pr
AlpConF,46858,0,0,aiguestortes,6,12,pr
